indicator_code,indicator_name,indicator_family,approved_or_test,applicable_LRR,applicable_MLRA,soil_texture_scope,measurement_datum,maximum_start_depth_cm,minimum_thickness_cm,matrix_hue_requirement,matrix_value_requirement,matrix_chroma_requirement,matrix_percentage_requirement,redox_type_requirement,redox_percentage_requirement,organic_material_requirement,taxonomy_requirement,landscape_requirement,other_requirement,required_input_fields,notes,source_page,raw_rule_text,source
A1,Histosol or Histel,A,APPROVED,all LRRs,See applicable_LRR text for exceptions/restrictions,all soils,,,,,,,,,,,"Histosol except Folist, or Histel except Folistel",,,taxonomy,Primary executable implementation,11,A1.—Histosol or Histel. For use in all LRRs. Classifies as a Histosol (except Folist) or as a Histel (except Folistel).,"USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A2,Histic Epipedon,A,APPROVED,all LRRs,See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,12,A2.—Histic Epipedon. For use in all LRRs. A histic epipedon underlain by mineral soil material with chroma of 2 or less.,"USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A3,Black Histic,A,APPROVED,all LRRs,See applicable_LRR text for exceptions/restrictions,all soils,soil surface,15,20,10YR or yellower,<=3,<=1; underlying mineral material <=2,,,,"peat, mucky peat, or muck",,,,organic material type; continuous depth; moist hue/value/chroma; underlying mineral chroma,Primary executable implementation,12,"A3.—Black Histic. For use in all LRRs. A layer of peat, mucky peat, or muck 20 cm (8 inches) or more thick starting at a depth of 15 cm (6 inches) or less from the soil surface with a hue of 10YR or yellower, value of 3 or less, and chroma of 1 or less and underlain by mineral soil material with chroma of 2 or less.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A4,Hydrogen Sulfide,A,APPROVED,all LRRs,See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,12,A4.—Hydrogen Sulfide. For use in all LRRs. A hydrogen sulfide odor starting at a depth of 30 cm (12 inches) or less from the soil surface.,"USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A5,Stratified Layers,A,APPROVED,"LRRs C, F, K, L, M, N, O, P, R, S, T, and U; for testing in LRRs Q, V, and Z. Several stratified layers starting at a depth of 15 cm (6 inches) or less from the soil surface",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,12,"A5.—Stratified Layers. For use in LRRs C, F, K, L, M, N, O, P, R, S, T, and U; for testing in LRRs Q, V, and Z. Several stratified layers starting at a depth of 15 cm (6 inches) or less from the soil surface. At least one of the layers has value of 3 or less and chroma of 1 or less, or it is muck, mucky peat, peat, or a mucky modified mineral texture. The remaining layers in the upper 15 cm (6 inches) have chroma of 2 or less. For any sandy material that constitutes the layer with value of 3 or less and chroma of 1 or less, at least 70 percent of the visible soil particles must be masked with organic material when viewed through a 10x or 15x hand lens. Figure 9.—Indicators A2, Histic Epipedon, and A3, Black Histic. This soil meets the depth criterion of A2 and the color and depth criteria of A3. The black color, a requirement of A3, results from the accumulation of organic matter when the soil is saturated and anaerobic.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A6,Organic Bodies,A,APPROVED,"LRRs P (except for MLRA 136), T, U, and Z",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,13,"A6.—Organic Bodies. For use in LRRs P (except for MLRA 136), T, U, and Z. Presence of 2 percent or more organic bodies of muck or a mucky modified mineral texture, starting at a depth of 15 cm (6 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A7,5 cm Mucky Mineral,A,APPROVED,"LRRs P (except for MLRA 136), T, U, and Z",See applicable_LRR text for exceptions/restrictions,all soils,soil surface,15,5,,,,,,,mucky modified mineral soil material,,,,explicit mucky texture/material; depth and thickness,Primary executable implementation,14,"A7.—5 cm Mucky Mineral. For use in LRRs P (except for MLRA 136), T, U, and Z. A layer of mucky modified mineral soil material 5 cm (2 inches) or more thick, starting at a depth of 15 cm (6 inches) or less from the soil surface (fig. 13).","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A8,Muck Presence,A,APPROVED,"LRRs Q, U, V, and Z",See applicable_LRR text for exceptions/restrictions,all soils,soil surface,15,0,,<=3,<=1,,,,"muck (sapric), any thickness",,,,explicit muck; depth; moist value/chroma,Primary executable implementation,14,"A8.—Muck Presence. For use in LRRs Q, U, V, and Z. A layer of muck with value of 3 or less and chroma of 1 or less, starting at a depth of 15 cm (6 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A9,1 cm Muck,A,APPROVED,"LRRs D, F, G, H, P (except for MLRA 136), and T; for testing in LRRs C, I, J, and O",See applicable_LRR text for exceptions/restrictions,all soils,soil surface,15,1,,<=3,<=1,,,,muck (sapric),,,,explicit muck; depth and thickness; moist value/chroma,Primary executable implementation,14,"A9.—1 cm Muck. For use in LRRs D, F, G, H, P (except for MLRA 136), and T; for testing in LRRs C, I, J, and O. A layer of muck 1 cm (0.5 inch) or more thick with value of 3 or less and chroma of 1 or less, starting at a depth of 15 cm (6 inches) or less from the soil surface. 15 Field Indicators of Hydric Soils Figure 14.—Indicator A9, 1 cm Muck. This soil has more than 1 cm of muck, starting at 8 cm on the left measuring tape. Different LRRs may use the presence of muck or 2 cm of muck as an indicator of a hydric soil.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A10,2 cm Muck,A,APPROVED,"LRRs M and N; for testing in LRRs A, B, E, K, L, and S (except for MLRA 148)",See applicable_LRR text for exceptions/restrictions,all soils,soil surface,15,2,,<=3,<=1,,,,muck (sapric),,,,explicit muck; depth and thickness; moist value/chroma,Primary executable implementation,15,"A10.—2 cm Muck. For use in LRRs M and N; for testing in LRRs A, B, E, K, L, and S (except for MLRA 148). A layer of muck 2 cm (0.75 inch) or more thick with value of 3 or less and chroma of 1 or less, starting at a depth of 15 cm (6 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
