indicator_code,indicator_name,implementation_feasibility,exact_reason,implemented_in_primary_analysis,required_input_fields,available_master_fields,proxies_forbidden
A1,Histosol or Histel,PARTIALLY_EVALUABLE,Taxonomy is explicit; classification version/completeness limits some records.,True,taxonomy,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A2,Histic Epipedon,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A3,Black Histic,PARTIALLY_EVALUABLE,"Organic horizon type, continuous depth, and moist color are sometimes explicit; underlying mineral color may be missing.",True,organic material type; continuous depth; moist hue/value/chroma; underlying mineral chroma,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A4,Hydrogen Sulfide,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A5,Stratified Layers,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A6,Organic Bodies,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A7,5 cm Mucky Mineral,PARTIALLY_EVALUABLE,Mucky modifier is only evaluable when explicitly rendered; absence is unknown.,True,explicit mucky texture/material; depth and thickness,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A8,Muck Presence,PARTIALLY_EVALUABLE,Muck type/color/depth is only evaluable when explicitly rendered.,True,explicit muck; depth; moist value/chroma,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A9,1 cm Muck,PARTIALLY_EVALUABLE,Muck type/color/depth/thickness is only evaluable when explicitly rendered.,True,explicit muck; depth and thickness; moist value/chroma,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A10,2 cm Muck,PARTIALLY_EVALUABLE,Muck type/color/depth/thickness is only evaluable when explicitly rendered.,True,explicit muck; depth and thickness; moist value/chroma,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A11,Depleted Below Dark Surface,PARTIALLY_EVALUABLE,Requires explicit depleted/gleyed matrix and continuous dark surface; sandy cases additionally need unavailable masked-particle percentage.,True,continuous layers; moist color; explicit depleted/gleyed matrix; texture; masked sand percentage when sandy,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A12,Thick Dark Surface,PARTIALLY_EVALUABLE,Requires explicit depleted/gleyed matrix and continuous dark surface; sandy cases additionally need unavailable masked-particle percentage.,True,continuous dark surface layers through >=30 cm; moist color; explicit depleted/gleyed matrix; masked sand percentage when sandy,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A13,Alaska Gleyed,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A14,Alaska Redox,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A15,Alaska Gleyed Pores,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A16,Coast Prairie Redox,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A17,Mesic Spodic,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
A18,Iron Monosulfide,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
S1,Sandy Mucky Mineral,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
S2,2.5 cm Mucky Peat or Peat,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
S3,5 cm Mucky Peat or Peat,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
S4,Sandy Gleyed Matrix,PARTIALLY_EVALUABLE,Gley hue/value and texture can be tested when moist matrix and dominance are explicit.,True,sandy texture; explicit moist gley hue/value; matrix percentage; start depth,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
S5,Sandy Redox,PARTIALLY_EVALUABLE,Quantitative redox percentage/type/contrast and moist color are present for only some horizons.,True,sandy texture; continuous depth; moist chroma; matrix percentage; redox percentage/type/contrast,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
S6,Stripped Matrix,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
S7,Dark Surface,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
S8,Polyvalue Below Surface,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
